lemma,upos,us,uk,count
should,AUX,/ˈʃʊd/,/ʃˈʊd/,402028056
product,NOUN,/ˈpɹɑdəkt/,/pɹˈɒdʌkt/,399116355
system,NOUN,/ˈsɪstəm/,/sˈɪstəm/,396975018
post,VERB,/ˈpoʊst/,/pˈə‍ʊst/,392956436
city,NOUN,/ˈsɪti/,/sˈɪti/,390564835
t,NOUN,/ˈti/,/tˈiː/,388448018
add,VERB,/ˈæd/,/ˈæd/,387231739
policy,NOUN,/ˈpɑɫəsi/,/pˈɒlɪsi/,384401868
such,ADJ,/ˈsətʃ/,/sˈʌt‍ʃ/,380725892
please,INTJ,/ˈpɫiz/,/plˈiːz/,380046348
available,ADJ,/əˈveɪɫəbəɫ/,/ɐvˈe‍ɪləbə‍l/,379644437
copyright,NOUN,/ˈkɑpiˌɹaɪt/,/kˈɒpɪɹˌa‍ɪt/,373906735
support,NOUN,/səˈpɔɹt/,/səpˈɔːt/,373512569
message,NOUN,/ˈmɛsədʒ/,/mˈɛsɪd‍ʒ/,373081242
after,ADP,/ˈæftɝ/,/ˈɑːftɐ/,372948094
best,ADJ,/ˈbɛst/,/bˈɛst/,371852748
software,NOUN,/ˈsɔfˌwɛɹ/,/sˈɒftwe‍ə/,370517038
then,ADV,/ˈðɛn/,/ðˈɛn/,369928941
good,ADJ,/ˈɡʊd/,/ɡˈʊd/,365796396
video,NOUN,/ˈvɪdioʊ/,/vˈɪdɪə‍ʊ/,365410017
well,INTJ,/ˈwɛɫ/,/wˈɛl/,362082755
d,NOUN,/ˈdi/,/dˈiː/,361493758
where,ADV,/ˈhwɛɹ/,/wˈe‍ə/,360468339
info,NOUN,/ˈɪnfoʊ/,/ˈɪnfə‍ʊ/,352363058
public,ADJ,/ˈpəbɫɪk/,/pˈʌblɪk/,349286123
high,INTJ,/ˈhaɪ/,/hˈa‍ɪ/,345413157
school,NOUN,/ˈskuɫ/,/skˈuːl/,343057316
through,ADP,/ˈθɹu/,/θɹˈuː/,342373303
m,NOUN,/ˈɛm/,/ˈɛm/,341583838
each,DET,/ˈitʃ/,/ˈiːt‍ʃ/,340892856
she,PRON,/ˈʃi/,/ʃˈiː/,339171382
order,NOUN,/ˈɔɹdɝ/,/ˈɔːdɐ/,336631187
very,ADV,/ˈvɛɹi/,/vˈɛɹi/,334923368
privacy,NOUN,/ˈpɹaɪvəsi/,/pɹˈɪvəsi/,333272427
book,NOUN,/ˈbʊk/,/bˈʊk/,330959949
company,NOUN,/ˈkəmpəˌni/,/kˈʌmpəni/,324272258
r,NOUN,/ˈɑɹ/,/ˈɑː/,323534251
group,NOUN,/ˈɡɹup/,/ɡɹˈuːp/,321842984
sex,NOUN,/ˈsɛks/,/sˈɛks/,320105999
need,VERB,/ˈnid/,/nˈiːd/,319376932
many,ADJ,/ˈmɛni/,/mˈɛni/,318966441
user,NOUN,/ˈjuzɝ/,/jˈuːzɐ/,316446229
de,PROPN,/ˈdeɪ/,/dˈɐ/,314593284
set,VERB,/ˈsɛt/,/sˈɛt/,313469591
under,ADP,/ˈəndɝ/,/ˈʌndɐ/,313296421
general,ADJ,/ˈdʒɛnɝəɫ/,/d‍ʒˈɛnəɹə‍l/,311757793
university,NOUN,/ˌjunəˈvɝsəti/,/jˌuːnɪvˈɜːsɪtˌi/,311373936
mail,NOUN,/ˈmeɪɫ/,/mˈe‍ɪl/,310337185
full,ADJ,/ˈfʊɫ/,/fˈʊl/,309929179
map,NOUN,/ˈmæp/,/mˈæp/,309676581
program,NOUN,/ˈpɹoʊˌɡɹæm/,/pɹˈə‍ʊɡɹæm/,306686983
life,NOUN,/ˈɫaɪf/,/lˈa‍ɪf/,306559205
know,INTJ,/ˈnoʊ/,/nˈə‍ʊ/,306100813
way,NOUN,/ˈweɪ/,/wˈe‍ɪ/,305515604
management,NOUN,/ˈmænədʒmənt/,/mˈænɪd‍ʒmənt/,304201237
p,NOUN,/ˈpi/,/pˈiː/,303249898
part,NOUN,/ˈpɑɹt/,/pˈɑːt/,302729303
could,AUX,/ˈkʊd/,/kˈʊd/,302311431
great,ADJ,/ˈɡɹeɪt/,/ɡɹˈe‍ɪt/,301487430
united,PROPN,/juˈnaɪtɪd/,/juːnˈa‍ɪtɪd/,299280163
hotel,NOUN,/hoʊˈtɛɫ/,/hə‍ʊtˈɛl/,297974790
f,NOUN,/ˈɛf/,/ˈɛf/,297285731
item,NOUN,/ˈaɪtəm/,/ˈa‍ɪtəm/,296534935
international,ADJ,/ˌɪnɝˈnæʃənəɫ/,/ˌɪntənˈæʃənə‍l/,295639201
center,NOUN,/ˈsɛnɝ/,/sˈɛntɐ/,294319118
must,AUX,/ˈməst/,/mˈʌst/,292774716
store,NOUN,/ˈstɔɹ/,/stˈɔː/,291308910
travel,NOUN,/ˈtɹævəɫ/,/tɹˈævə‍l/,287719294
development,NOUN,/dɪˈvɛɫəpmənt/,/dɪvˈɛləpmənt/,286291411
off,ADV,/ˈɔf/,/ˈɒf/,284035693
member,NOUN,/ˈmɛmbɝ/,/mˈɛmbɐ/,283858893
details,NOUN,/ˈditeɪɫz/,/dˈiːte‍ɪlz/,280827841
line,NOUN,/ˈɫaɪn/,/lˈa‍ɪn/,280009597
before,ADV,/ˌbiˈfɔɹ/,/bɪfˈɔː/,277546019
send,VERB,/ˈsɛnd/,/sˈɛnd/,274103587
right,INTJ,/ˈɹaɪt/,/ɹˈa‍ɪt/,273620358
type,NOUN,/ˈtaɪp/,/tˈa‍ɪp/,272336859
because,SCONJ,/bɪˈkɑz/,/bɪkˈʌz/,271323986
local,ADJ,/ˈɫoʊkəɫ/,/lˈə‍ʊkə‍l/,270742935
those,PRON,/ˈðoʊz/,/ðˈə‍ʊz/,270014141
office,NOUN,/ˈɔfɪs/,/ˈɒfɪs/,266789622
education,NOUN,/ˌɛdʒəˈkeɪʃən/,/ˌɛd‍ʒuːkˈe‍ɪʃən/,266738068
national,ADJ,/ˈnæʃənəɫ/,/nˈæʃənə‍l/,266376620
car,NOUN,/ˈkɑɹ/,/kˈɑː/,264720374
design,NOUN,/dɪˈzaɪn/,/dɪzˈa‍ɪn/,264448339
take,VERB,/ˈteɪk/,/tˈe‍ɪk/,264349801
internet,NOUN,/ˈɪntɝˌnɛt/,/ˈɪntənˌɛt/,263777245
community,NOUN,/kəmˈjunəti/,/kəmjˈuːnɪtˌi/,261839117
within,ADP,/wɪˈðɪn/,/wɪðˈɪn/,261390908
area,NOUN,/ˈɛɹiə/,/ˈe‍əɹi‍ə/,259871557
want,VERB,/ˈwɑnt/,/wˈɒnt/,258690345
phone,NOUN,/ˈfoʊn/,/fˈə‍ʊn/,256643812
shipping,NOUN,/ˈʃɪpɪŋ/,/ʃˈɪpɪŋ/,256521328
between,ADP,/bitˈwin/,/bɪtwˈiːn/,255436698
forum,X,/ˈfɔɹəm/,/fˈɔːɹəm/,254478181
family,NOUN,/ˈfæməɫi/,/fˈæmɪli/,254164055
l,INTJ,/ˈɛɫ/,/ˈɛl/,252900442
long,ADV,/ˈɫɔŋ/,/lˈɒŋ/,252519588
w,ADV,/ˈdəbəɫju/,/dˈʌbə‍ljˌuː/,252231566
code,NOUN,/ˈkoʊd/,/kˈə‍ʊd/,250245121
show,VERB,/ˈʃoʊ/,/ʃˈə‍ʊ/,247541986
even,ADV,/ˈivɪn/,/ˈiːvən/,245697701
black,ADJ,/ˈbɫæk/,/blˈæk/,244690155
check,VERB,/ˈtʃɛk/,/t‍ʃˈɛk/,244491090
special,ADJ,/ˈspɛʃəɫ/,/spˈɛʃə‍l/,244311841
website,NOUN,/ˈwɛbˌsaɪt/,/wˈɛbsa‍ɪt/,242876222
index,NOUN,/ˈɪndɛks/,/ˈɪndɛks/,242826246
being,NOUN,/ˈbiɪŋ/,/bˈiːɪŋ/,242783091
much,ADV,/ˈmətʃ/,/mˈʌt‍ʃ/,242326300
sign,VERB,/ˈsaɪn/,/sˈa‍ɪn/,242290578
link,NOUN,/ˈɫɪŋk/,/lˈɪŋk/,240402653
open,ADJ,/ˈoʊpən/,/ˈə‍ʊpən/,239670331
today,NOUN,/təˈdeɪ/,/tədˈe‍ɪ/,239271204
technology,NOUN,/tɛkˈnɑɫədʒi/,/tɛknˈɒləd‍ʒi/,238674296
south,ADV,/ˈsaʊθ/,/sˈa‍ʊθ/,238581133
case,NOUN,/ˈkeɪs/,/kˈe‍ɪs/,235563000
same,ADJ,/ˈseɪm/,/sˈe‍ɪm/,234822585
version,NOUN,/ˈvɝʒən/,/vˈɜːʃən/,232445953
section,NOUN,/ˈsɛkʃən/,/sˈɛkʃən/,232251956
own,ADJ,/ˈoʊn/,/ˈə‍ʊn/,232011723
found,VERB,/ˈfaʊnd/,/fˈa‍ʊnd/,232005894
security,NOUN,/sɪkˈjʊɹəti/,/sɪkjˈɔːɹɪti/,230014019
both,CCONJ,/ˈboʊθ/,/bˈə‍ʊθ/,228648541
g,X,/ˈdʒi/,/d‍ʒˈiː/,227771642
county,NOUN,/ˈkaʊni/,/kˈa‍ʊnti/,227567373
photo,NOUN,/ˈfoʊˌtoʊ/,/fˈə‍ʊtə‍ʊ/,227125249
game,NOUN,/ˈɡeɪm/,/ɡˈe‍ɪm/,227111505
members,NOUN,/ˈmɛmbɝz/,/mˈɛmbəz/,226656153
power,NOUN,/ˈpaʊɝ/,/pˈa‍ʊɐ/,226596368
while,SCONJ,/ˈhwaɪɫ/,/wˈa‍ɪl/,226194991
care,NOUN,/ˈkɛɹ/,/kˈe‍ə/,225326739
network,NOUN,/ˈnɛtˌwɝk/,/nˈɛtwɜːk/,225218991
down,ADV,/ˈdaʊn/,/dˈa‍ʊn/,224915894
computer,NOUN,/kəmˈpjutɝ/,/kəmpjˈuːtɐ/,224177047
systems,NOUN,/ˈsɪstəmz/,/sˈɪstəmz/,223555915
three,NUM,/ˈθɹi/,/θɹˈiː/,223417394
total,ADJ,/ˈtoʊtəɫ/,/tˈə‍ʊtə‍l/,222649459
place,NOUN,/ˈpɫeɪs/,/plˈe‍ɪs/,220970235
end,NOUN,/ˈɛnd/,/ˈɛnd/,220812328
download,NOUN,/ˈdaʊnˌɫoʊd/,/dˈa‍ʊnlə‍ʊd/,220626128
h,INTJ,/ˈeɪtʃ/,/ˈe‍ɪt‍ʃ/,220523502
without,ADP,/wɪˈðaʊt/,/wɪðˈa‍ʊt/,219190105
per,ADP,/ˈpɝ/,/pˈɜː/,218945655
access,NOUN,/ˈækˌsɛs/,/ˈæksɛs/,217986984
think,VERB,/ˈθɪŋk/,/θˈɪŋk/,217856550
north,ADV,/ˈnɔɹθ/,/nˈɔːθ/,217809513
current,ADJ,/ˈkɑɹənt/,/kˈʌɹənt/,216987137
big,ADJ,/ˈbɪɡ/,/bˈɪɡ/,216690546
media,NOUN,/ˈmidiə/,/mˈiːdiːɐ/,216432510
law,NOUN,/ˈɫɑ/,/lˈɔː/,216122487
control,NOUN,/kənˈtɹoʊɫ/,/kəntɹˈə‍ʊl/,215560453
water,NOUN,/ˈwɔtɝ/,/wˈɔːtɐ/,215178488
history,NOUN,/ˈhɪstɝi/,/hˈɪstəɹˌi/,215000515
size,NOUN,/ˈsaɪz/,/sˈa‍ɪz/,214844153
art,NOUN,/ˈɑɹt/,/ˈɑːt/,214702696
personal,ADJ,/ˈpɝsɪnəɫ/,/pˈɜːsənə‍l/,214671907
since,ADV,/ˈsɪns/,/sˈɪns/,214302926
guide,NOUN,/ˈɡaɪd/,/ɡˈa‍ɪd/,213378807
shop,NOUN,/ˈʃɑp/,/ʃˈɒp/,212793848
directory,NOUN,/daɪˈɹɛktɝi/,/da‍ɪɹˈɛktəɹˌi/,212478717
board,NOUN,/ˈbɔɹd/,/bˈɔːd/,212361059
location,NOUN,/ɫoʊˈkeɪʃən/,/lə‍ʊkˈe‍ɪʃən/,211243333
change,NOUN,/ˈtʃeɪndʒ/,/t‍ʃˈe‍ɪnd‍ʒ/,210601244
white,ADJ,/ˈhwaɪt/,/wˈa‍ɪt/,209863729
text,NOUN,/ˈtɛkst/,/tˈɛkst/,208780080
small,ADJ,/ˈsmɔɫ/,/smˈɔːl/,208371878
rating,NOUN,/ˈɹeɪtɪŋ/,/ɹˈe‍ɪtɪŋ/,207858692
rate,NOUN,/ˈɹeɪt/,/ɹˈe‍ɪt/,207634179
government,NOUN,/ˈɡəvɝmənt/,/ɡˈʌvənmənt/,206582673
during,ADP,/ˈdɝɪŋ/,/djˈɔːɹɪŋ/,206364495
v,NOUN,/ˈvi/,/vˈiː/,204486977
shopping,NOUN,/ˈʃɑpɪŋ/,/ʃˈɒpɪŋ/,204104275
account,NOUN,/əˈkaʊnt/,/ɐkˈa‍ʊnt/,203611349
level,NOUN,/ˈɫɛvəɫ/,/lˈɛvə‍l/,202563642
digital,ADJ,/ˈdɪdʒətəɫ/,/dˈɪd‍ʒɪtə‍l/,202346767
profile,NOUN,/ˈpɹoʊˌfaɪɫ/,/pɹˈə‍ʊfa‍ɪl/,201854745
previous,ADJ,/ˈpɹiviəs/,/pɹˈiːvɪəs/,201692678
form,NOUN,/ˈfɔɹm/,/fˈɔːm/,201395192
love,NOUN,/ˈɫəv/,/lˈʌv/,201063526
old,ADJ,/ˈoʊɫd/,/ˈə‍ʊld/,199694226
john,NOUN,/ˈdʒɑn/,/d‍ʒˈɒn/,199642644
main,ADJ,/ˈmeɪn/,/mˈe‍ɪn/,199616754
call,NOUN,/ˈkɔɫ/,/kˈɔːl/,199608869
image,NOUN,/ˈɪmədʒ/,/ˈɪmɪd‍ʒ/,197874283
department,NOUN,/dɪˈpɑɹtmənt/,/dɪpˈɑːtmənt/,197293325
title,NOUN,/ˈtaɪtəɫ/,/tˈa‍ɪtə‍l/,196676017
description,NOUN,/dɪsˈkɹɪpʃən/,/dɪskɹˈɪpʃən/,196301245
non,X,/ˈnɑn/,/nˈɒn/,196109547
k,PROPN,/ˈkeɪ/,/kˈe‍ɪ/,195647953
y,ADV,/ˈwaɪ/,/wˈa‍ɪ/,195011703
insurance,NOUN,/ˌɪnˈʃʊɹəns/,/ɪnʃˈɔːɹəns/,193271293
another,DET,/əˈnəðɝ/,/ɐnˈʌðɐ/,192535750
why,ADV,/ˈhwaɪ/,/wˈa‍ɪ/,192000672
shall,AUX,/ˈʃæɫ/,/ʃˈæl/,191963867
property,NOUN,/ˈpɹɑpɝti/,/pɹˈɒpəti/,191783393
class,NOUN,/ˈkɫæs/,/klˈɑːs/,191087771
still,ADV,/ˈstɪɫ/,/stˈɪl/,190433487
money,NOUN,/ˈməni/,/mˈʌni/,190205072
quality,NOUN,/ˈkwɑɫəti/,/kwˈɒlɪti/,189509533
every,DET,/ˈɛvɝi/,/ˈɛvɹi/,189325890
listing,NOUN,/ˈɫɪstɪŋ/,/lˈɪstɪŋ/,188985252
country,NOUN,/ˈkəntɹi/,/kˈʌntɹi/,188691168
private,ADJ,/ˈpɹaɪvət/,/pɹˈa‍ɪvət/,187885878
little,ADJ,/ˈɫɪtəɫ/,/lˈɪtə‍l/,187142519
visit,VERB,/ˈvɪzɪt/,/vˈɪzɪt/,187062316
save,VERB,/ˈseɪv/,/sˈe‍ɪv/,186091095
low,ADJ,/ˈɫoʊ/,/lˈə‍ʊ/,184815478
reply,VERB,/ɹiˈpɫaɪ/,/ɹɪplˈa‍ɪ/,184777992
customer,NOUN,/ˈkəstəmɝ/,/kˈʌstəmɐ/,184406888
compare,VERB,/kəmˈpɛɹ/,/kəmpˈe‍ə/,183202885
include,VERB,/ˌɪnˈkɫud/,/ɪnklˈuːd/,182579275
college,NOUN,/ˈkɑɫɪdʒ/,/kˈɒlɪd‍ʒ/,182545426
value,NOUN,/ˈvæɫju/,/vˈæljuː/,182061247
article,NOUN,/ˈɑɹtəkəɫ/,/ˈɑːtɪkə‍l/,181969355
york,NOUN,/ˈjɔɹk/,/jˈɔːk/,181556155
man,NOUN,/ˈmæn/,/mˈæn/,181445531
card,NOUN,/ˈkɑɹd/,/kˈɑːd/,181387042
provide,VERB,/pɹəˈvaɪd/,/pɹəvˈa‍ɪd/,181040994
j,PROPN,/ˈdʒeɪ/,/d‍ʒˈe‍ɪ/,180739802
food,NOUN,/ˈfud/,/fˈuːd/,180144029
source,NOUN,/ˈsɔɹs/,/sˈɔːs/,179963886
author,NOUN,/ˈɔθɝ/,/ˈɔːθɐ/,179813446
different,ADJ,/ˈdɪfɝənt/,/dˈɪfɹənt/,179794224
press,NOUN,/ˈpɹɛs/,/pɹˈɛs/,179652730
u,X,/ˈju/,/jˈuː/,179615587
learn,VERB,/ˈɫɝn/,/lˈɜːn/,179428286
sale,NOUN,/ˈseɪɫ/,/sˈe‍ɪl/,179224570
around,ADV,/ɝˈaʊn/,/ɐɹˈa‍ʊnd/,178810033
print,VERB,/ˈpɹɪnt/,/pɹˈɪnt/,178250872
course,ADV,/ˈkɔɹs/,/kˈɔːs/,177976652
teen,NOUN,/ˈtin/,/tˈiːn/,176301486
room,NOUN,/ˈɹum/,/ɹˈuːm/,176299905
stock,NOUN,/ˈstɑk/,/stˈɒk/,176295589
training,NOUN,/ˈtɹeɪnɪŋ/,/tɹˈe‍ɪnɪŋ/,176129154
too,ADV,/ˈtu/,/tˈuː/,176093255
credit,NOUN,/ˈkɹɛdət/,/kɹˈɛdɪt/,175916536
point,NOUN,/ˈpɔɪnt/,/pˈɔ‍ɪnt/,175527859
join,VERB,/ˈdʒɔɪn/,/d‍ʒˈɔ‍ɪn/,174297802
science,NOUN,/ˈsaɪəns/,/sˈa‍ɪ‍əns/,174232809
men,NOUN,/ˈmɛn/,/mˈɛn/,174058407
west,ADV,/ˈwɛst/,/wˈɛst/,173346868
look,VERB,/ˈɫʊk/,/lˈʊk/,173043002
english,NOUN,/ˈɪŋɡɫɪʃ/,/ˈɪŋɡlɪʃ/,172371546
team,NOUN,/ˈtim/,/tˈiːm/,171687825
estate,NOUN,/ɪˈsteɪt/,/ɪstˈe‍ɪt/,169256248
box,NOUN,/ˈbɑks/,/bˈɒks/,169231297
select,VERB,/səˈɫɛkt/,/sɪlˈɛkt/,168673045
gay,NOUN,/ˈɡeɪ/,/ɡˈe‍ɪ/,167587791
thread,NOUN,/ˈθɹɛd/,/θɹˈɛd/,167518537
week,NOUN,/ˈwik/,/wˈiːk/,167202060
category,NOUN,/ˈkætəˌɡɔɹi/,/kˈætɪɡəɹi/,166811948
note,NOUN,/ˈnoʊt/,/nˈə‍ʊt/,166657334
large,ADJ,/ˈɫɑɹdʒ/,/lˈɑːd‍ʒ/,165863763
gallery,NOUN,/ˈɡæɫɝi/,/ɡˈæləɹi/,165671626
table,NOUN,/ˈteɪbəɫ/,/tˈe‍ɪbə‍l/,165341452
register,VERB,/ˈɹɛdʒɪstɝ/,/ɹˈɛd‍ʒɪstɐ/,164834442
however,ADV,/ˌhaʊˈɛvɝ/,/ha‍ʊˈɛvɐ/,163957176
market,NOUN,/ˈmɑɹkət/,/mˈɑːkɪt/,162390150
library,NOUN,/ˈɫaɪbɹɛˌɹi/,/lˈa‍ɪbɹəɹi/,162076395
really,ADV,/ˈɹiɫi/,/ɹˈi‍əli/,162033390
action,NOUN,/ˈækʃən/,/ˈækʃən/,162023431
start,VERB,/ˈstɑɹt/,/stˈɑːt/,161913408
series,NOUN,/ˈsɪɹiz/,/sˈi‍əɹiz/,161518557
model,NOUN,/ˈmɑdəɫ/,/mˈɒdə‍l/,161205740
air,NOUN,/ˈɛɹ/,/ˈe‍ə/,160850401
industry,NOUN,/ˈɪndəstɹi/,/ˈɪndʌstɹˌi/,160812623
plan,NOUN,/ˈpɫæn/,/plˈæn/,160746244
human,ADJ,/ˈhjumən/,/hjˈuːmən/,160573748
yes,INTJ,/ˈjɛs/,/jˈɛs/,159595214
hot,ADJ,/ˈhɑt/,/hˈɒt/,159287179
cost,NOUN,/ˈkɑst/,/kˈɒst/,158887256
movie,NOUN,/ˈmuvi/,/mˈuːvi/,158421100
forums,NOUN,/ˈfɔɹəmz/,/fˈɔːɹəmz/,158410645
march,NOUN,/ˈmɑɹtʃ/,/mˈɑːt‍ʃ/,158281269
la,NOUN,/ˈɫɑ/,/lˈæ/,157960401
better,ADJ,/ˈbɛtɝ/,/bˈɛtɐ/,157079378
say,VERB,/ˈseɪ/,/sˈe‍ɪ/,156845267
yahoo,NOUN,/ˈjɑˌhu/,/jˈæhuː/,155733641
medical,ADJ,/ˈmɛdəkəɫ/,/mˈɛdɪkə‍l/,155254497
test,NOUN,/ˈtɛst/,/tˈɛst/,154999587
friend,NOUN,/ˈfɹɛnd/,/fɹˈɛnd/,154527125
come,VERB,/ˈkəm/,/kˈʌm/,154326119
server,NOUN,/ˈsɝvɝ/,/sˈɜːvɐ/,153788544
study,VERB,/ˈstədi/,/stˈʌdi/,152978354
application,NOUN,/ˌæpɫəˈkeɪʃən/,/ˌæplɪkˈe‍ɪʃən/,152776595
cart,NOUN,/ˈkɑɹt/,/kˈɑːt/,152155277
staff,NOUN,/ˈstæf/,/stˈɑːf/,151553180
feedback,NOUN,/ˈfidˌbæk/,/fˈiːdbæk/,151008079
again,ADV,/əˈɡeɪn/,/ɐɡˈɛn/,150781416
play,AUX,/ˈpɫeɪ/,/plˈe‍ɪ/,150748333
never,ADV,/ˈnɛvɝ/,/nˈɛvɐ/,149556758
complete,ADJ,/kəmˈpɫit/,/kəmplˈiːt/,149312237
street,NOUN,/ˈstɹit/,/stɹˈiːt/,149130754
topic,X,/ˈtɑpɪk/,/tˈɒpɪk/,149001702
